image_name,jpeg_based_compressibility,canny_based_compressibility
0000.jpg,-0.010130266822897638,0.001228121524322426
0001.jpg,-0.005605706478248087,0.0024322769073754393
0002.jpg,-0.01449602920868086,0.0023853052906048864
0003.jpg,-0.007157074731921052,0.002651506921826517
0004.jpg,-0.01155030214929983,0.0020926892789002397
0005.jpg,-0.004531883376602522,0.0027781506047600472
0006.jpg,-0.007464387444740249,0.001043396398827802
0007.jpg,-0.009817083217292813,0.001275553857906799
0008.jpg,-0.003731481604846902,0.0011572603743292586
0009.jpg,-0.019774678993418837,0.0020082646629518983
0010.jpg,-0.009647013260421462,-0.000245459333826904
0011.jpg,-0.0031043694993664744,0.0022413973318663187
0012.jpg,-0.014007099307098196,0.0016912085450537014
0013.jpg,0.00026619835726527014,0.003161070996098131
0014.jpg,-0.0013743316222710367,0.003203318354649154
0015.jpg,-0.01334518851162616,0.0018771262598679312
0016.jpg,-0.013802593600672168,0.0018435777949244502
0017.jpg,-0.007127699609111236,0.0026160038944091505
0018.jpg,-0.01853833196256967,0.0025146275238348
0019.jpg,-0.017130432964632653,0.003064222074451771
0020.jpg,-0.015938546248329227,0.0016624852420306965
0021.jpg,-0.006918492111149177,0.0025257838680657475
0022.jpg,-0.005490898559742774,0.0015539968298514592
0023.jpg,-0.018354079145262967,0.0019597212062020235
0024.jpg,-0.009658216051199452,0.001429699112200217
0025.jpg,-0.0001392922194325021,0.0027564780539397144
0026.jpg,0.00016762547955605916,0.0018356547056971987
0027.jpg,-0.003630713320959694,0.002419165007450357
0028.jpg,-0.010611584440720336,0.0022288727913695513
0029.jpg,0.00022362382733458989,0.002561106849081532
0030.jpg,-0.00696071912848481,0.0022077401372212696
0031.jpg,-0.020481378584053245,-0.0005657681316135013
0032.jpg,-0.0032407123279856124,0.003199713533601734
0033.jpg,-0.0011439415990465965,0.002646440101954121
0034.jpg,-0.008083847570702586,0.0032009609569942856
0035.jpg,-0.02131690412925192,0.0029734890492110026
0036.jpg,-0.00881656911333147,0.0024443460560345993
0037.jpg,-0.0008059048658782542,0.0028177334187002665
0038.jpg,-0.014629625279171452,0.003126650900077823
0039.jpg,-0.011882428804296049,0.001698341236599812
0040.jpg,-0.01066641084709801,0.0022319677451215557
0041.jpg,-0.008575671430184532,0.0024883783392905105
0042.jpg,0.0012911459629454858,0.0019922800886850046
0043.jpg,-0.00926083362187781,0.0020234152220051657
0044.jpg,-0.018962362477985304,0.002001369260110519
0045.jpg,-0.01732757570204871,0.0023453854568484082
0046.jpg,-0.017317440880806365,0.0021305506519901114
0047.jpg,-0.010007826327209847,0.0031493772992172405
0048.jpg,-0.019539407825277924,0.001756074565317882
0049.jpg,-0.021004027102648287,0.0011004186617529425
0050.jpg,-0.015352187979832338,0.0023943158687315357
