image_name,vitnat
0000.jpg,2.475145101547241
0001.jpg,2.6626157760620117
0002.jpg,2.821922779083252
0003.jpg,2.55806040763855
0004.jpg,2.477976083755493
0005.jpg,2.1401748657226562
0006.jpg,2.0573086738586426
0007.jpg,1.7692803144454956
0008.jpg,2.302821397781372
0009.jpg,2.011807918548584
0010.jpg,3.190305709838867
0011.jpg,3.027656078338623
0012.jpg,2.223034620285034
0013.jpg,3.8795011043548584
0014.jpg,3.2837140560150146
0015.jpg,1.6883021593093872
0016.jpg,2.2174293994903564
0017.jpg,3.1283276081085205
0018.jpg,2.8381917476654053
0019.jpg,2.996188163757324
0020.jpg,2.1136512756347656
0021.jpg,3.3461997509002686
0022.jpg,2.0808746814727783
0023.jpg,1.7341543436050415
0024.jpg,2.6158812046051025
0025.jpg,3.720904588699341
0026.jpg,3.1597495079040527
0027.jpg,3.8766331672668457
0028.jpg,2.4055335521698
0029.jpg,1.9111772775650024
0030.jpg,5.480149269104004
0031.jpg,1.5100616216659546
0032.jpg,4.3036370277404785
0033.jpg,3.1388628482818604
0034.jpg,3.104985237121582
0035.jpg,2.1578500270843506
0036.jpg,2.6642282009124756
0037.jpg,3.085927724838257
0038.jpg,1.8663082122802734
0039.jpg,2.6338236331939697
0040.jpg,3.161785125732422
0041.jpg,2.742530345916748
0042.jpg,3.278515100479126
0043.jpg,1.993315577507019
0044.jpg,2.3276336193084717
0045.jpg,3.7504284381866455
0046.jpg,2.8526036739349365
0047.jpg,3.2195141315460205
0048.jpg,2.4368181228637695
0049.jpg,2.807849884033203
0050.jpg,2.2089626789093018
0051.jpg,2.90962290763855
0052.jpg,2.6564204692840576
0053.jpg,3.0710561275482178
0054.jpg,3.0591206550598145
0055.jpg,2.159707546234131
0056.jpg,2.49859881401062
0057.jpg,2.9975597858428955
0058.jpg,1.8905658721923828
0059.jpg,2.0013394355773926
0060.jpg,1.8366260528564453
0061.jpg,1.7231959104537964
0062.jpg,3.654963731765747
0063.jpg,1.993675708770752
0064.jpg,4.009471893310547
0065.jpg,2.663996458053589
0066.jpg,2.519637107849121
0067.jpg,2.742600679397583
0068.jpg,3.154109001159668
0069.jpg,2.804004430770874
0070.jpg,2.4237241744995117
0071.jpg,2.498016357421875
0072.jpg,2.518646717071533
0073.jpg,2.2750303745269775
0074.jpg,2.589430093765259
0075.jpg,2.6071176528930664
0076.jpg,2.732296943664551
0077.jpg,1.979907512664795
0078.jpg,2.7482571601867676
0079.jpg,2.2622525691986084
0080.jpg,2.62326979637146
