image_name,n_participants_target,target_crr,target_hr,target_far,target_hit,target_miss,target_fa,target_cr,n_participants_filler,filler_hit,filler_miss,filler_fa,filler_cr
pn1.jpg,38,0.42105263157894735,0.631578947368421,0.21052631578947367,24,14,8,30,117,4,9,19,98
pn10.jpg,42,0.4523809523809524,0.6904761904761905,0.23809523809523808,29,13,10,32,97,11,4,40,57
pn11.jpeg,44,0.6136363636363635,0.7954545454545454,0.18181818181818182,35,9,8,36,92,8,5,14,78
pn12.jpg,50,0.6200000000000001,0.68,0.06,34,16,3,47,71,4,5,3,68
pn13.jpeg,40,0.39999999999999997,0.6,0.2,24,16,8,32,98,4,4,8,90
pn14.jpg,45,0.33333333333333326,0.7333333333333333,0.4,33,12,18,27,102,7,4,37,65
pn15.jpg,56,0.4821428571428572,0.8928571428571429,0.4107142857142857,50,6,23,33,97,11,2,30,67
pn16.jpg,41,0.41463414634146345,0.6341463414634146,0.21951219512195122,26,15,9,32,97,10,3,12,85
pn17.jpg,48,0.5416666666666667,0.6458333333333334,0.10416666666666667,31,17,5,43,103,15,4,24,79
pn18.jpg,40,0.27499999999999997,0.725,0.45,29,11,18,22,97,11,6,35,62
pn19.jpg,38,0.868421052631579,0.9210526315789473,0.05263157894736842,35,3,2,36,93,7,5,7,86
pn2.jpg,46,0.28260869565217395,0.7608695652173914,0.4782608695652174,35,11,22,24,92,11,3,38,54
pn20.jpg,43,0.627906976744186,0.6976744186046512,0.06976744186046512,30,13,3,40,109,11,3,9,100
pn21.jpg,39,0.20512820512820507,0.6666666666666666,0.46153846153846156,26,13,18,21,104,8,8,38,66
pn22.jpg,39,0.2820512820512821,0.6153846153846154,0.3333333333333333,24,15,13,26,105,15,7,38,67
pn23.jpg,36,0.5,0.8055555555555556,0.3055555555555556,29,7,11,25,110,17,4,33,77
pn24.jpg,41,0.41463414634146345,0.6341463414634146,0.21951219512195122,26,15,9,32,101,10,3,21,80
pn25.jpg,40,0.325,0.775,0.45,31,9,18,22,93,14,0,35,58
pn26.jpg,41,0.4146341463414634,0.7073170731707317,0.2926829268292683,29,12,12,29,96,8,8,31,65
pn27.jpg,53,0.5660377358490566,0.7169811320754716,0.1509433962264151,38,15,8,45,91,7,0,15,76
pn28.jpg,32,0.40625,0.71875,0.3125,23,9,10,22,103,6,4,28,75
pn29.jpg,49,0.42857142857142855,0.673469387755102,0.24489795918367346,33,16,12,37,80,7,3,19,61
